140,d,tgexc,triangular,full,http://www.netlib.org/lapack/double/dtgexc.f,,"generalized nonsymmetric eigenvalue, reorder Schur factorization",140
141,c,tgexc,triangular,full,http://www.netlib.org/lapack/complex/ctgexc.f,,"generalized nonsymmetric eigenvalue, reorder Schur factorization",141
142,z,tgexc,triangular,full,http://www.netlib.org/lapack/complex16/ztgexc.f,,"generalized nonsymmetric eigenvalue, reorder Schur factorization",142
143,s,tgsyl,triangular,full,http://www.netlib.org/lapack/single/stgsyl.f,,"generalized nonsymmetric eigenvalue, Sylvester equation",143
144,d,tgsyl,triangular,full,http://www.netlib.org/lapack/double/dtgsyl.f,,"generalized nonsymmetric eigenvalue, Sylvester equation",144
145,c,tgsyl,triangular,full,http://www.netlib.org/lapack/complex/ctgsyl.f,,"generalized nonsymmetric eigenvalue, Sylvester equation",145
146,z,tgsyl,triangular,full,http://www.netlib.org/lapack/complex16/ztgsyl.f,,"generalized nonsymmetric eigenvalue, Sylvester equation",146
147,s,tgsna,triangular,full,http://www.netlib.org/lapack/single/stgsna.f,,"generalized nonsymmetric eigenvalue, condition numbers",147
148,d,tgsna,triangular,full,http://www.netlib.org/lapack/double/dtgsna.f,,"generalized nonsymmetric eigenvalue, condition numbers",148
149,c,tgsna,triangular,full,http://www.netlib.org/lapack/complex/ctgsna.f,,"generalized nonsymmetric eigenvalue, condition numbers",149
150,z,tgsna,triangular,full,http://www.netlib.org/lapack/complex16/ztgsna.f,,"generalized nonsymmetric eigenvalue, condition numbers",150
151,s,tgsen,triangular,full,http://www.netlib.org/lapack/single/stgsen.f,,"generalized nonsymmetric eigenvalue, condition numbers of eigenvalue cluster/subspace",151
152,s,tgsen,triangular,full,http://www.netlib.org/lapack/double/dtgsen.f,,"generalized nonsymmetric eigenvalue, condition numbers of eigenvalue cluster/subspace",152
153,s,tgsen,triangular,full,http://www.netlib.org/lapack/complex/ctgsen.f,,"generalized nonsymmetric eigenvalue, condition numbers of eigenvalue cluster/subspace",153
154,s,tgsen,triangular,full,http://www.netlib.org/lapack/complex16/ztgsen.f,,"generalized nonsymmetric eigenvalue, condition numbers of eigenvalue cluster/subspace",154
