avg-diag-dist,norm1,col-variability,min-nnzeros-per-row,row-variability,kappa,time,solver,matrix_name,predicted_class,actual_class,default_time,Time Difference,Comparison,SpeedUp
215.1551,24.76198,18.4718,9,18.4718,1.483984,36025721,0.010327,cavity18,good,good,0.79127,-98.69,-98.69 % less time of default solver time,76.62147768
585.3569,0.580267,11.76313,5,11.76313,43887.73,37052868,0.000722,chipcool0,good,good,0.055291,-98.69,-98.69 % less time of default solver time,76.58033241
215.1551,29.14887,18.4708,1,18.4708,47160.15,32168837,0.01144,cavity21,good,good,0.8271,-98.62,-98.62 % less time of default solver time,72.29895105
3042.557,1.00E+20,20,1,20,173721400,37052868,0.000145,zeros_nopss_13k,good,good,0.009516,-98.48,-98.48 % less time of default solver time,65.62758621
2516.491,1.00E+20,20,1,20,56603850,37052868,0.000132,nopss_11k,good,good,0.008604,-98.47,-98.47 % less time of default solver time,65.18181818
215.1551,29.14887,18.4708,1,18.4708,47160.15,36025721,0.012793,cavity21,good,good,0.8271,-98.45,-98.45 % less time of default solver time,64.65254436
215.1551,24.05054,18.47161,1,18.47161,37477.45,32168837,0.01053,cavity19,good,good,0.59992,-98.24,-98.24 % less time of default solver time,56.97245964
944.6253,1925.895,6.89293,2,7.738028,691356.6,37052868,0.000044,rajat12,good,good,0.002426,-98.19,-98.19 % less time of default solver time,55.13636364
215.1551,24.05054,18.47161,1,18.47161,37477.45,36025721,0.012101,cavity19,good,good,0.59992,-97.98,-97.98 % less time of default solver time,49.57606809
585.3569,0.580267,11.48482,5,11.48482,43778.01,37052868,0.000724,chipcool1,good,good,0.034948,-97.93,-97.93 % less time of default solver time,48.27071823
2344.653,1900653,18.02107,2,18.02107,6.50187,37052868,0.00069,jan99jac120,good,good,0.032542,-97.88,-97.88 % less time of default solver time,47.16231884
1426.706,44.30557,24.32602,5,24.09377,21278.24,37052868,0.000242,garon1,good,good,0.01076,-97.75,-97.75 % less time of default solver time,44.46280992
7939.423,5.28E+12,38.60734,5,29.62305,20.60074,37052868,0.001644,nmos3,good,good,0.069358,-97.63,-97.63 % less time of default solver time,42.18856448
2344.653,1319897,18.02107,2,18.02107,148937.5,37052868,0.000464,jan99jac080,good,good,0.018235,-97.46,-97.46 % less time of default solver time,39.29956897
53.16667,63,18.37362,1,18.37362,16421840000,37052868,0.00004,watt_2,good,good,0.00156,-97.44,-97.44 % less time of default solver time,39
4690.226,1.35E+12,36.1545,2,28.3416,14.50935,37052868,0.000927,igbt3,good,good,0.034771,-97.33,-97.33 % less time of default solver time,37.50916936
157.7643,18.9037,18.3318,9,18.3318,20069.32,32168837,0.003397,cavity10,good,good,0.11613,-97.07,-97.07 % less time of default solver time,34.18604651
157.7643,18.9037,18.3318,9,18.3318,20069.32,36025721,0.003682,cavity10,good,good,0.11613,-96.83,-96.83 % less time of default solver time,31.53992395
1711.529,386.2931,4.707724,2,4.817186,64.30901,37052868,0.000221,jan99jac020sc,good,good,0.006641,-96.67,-96.67 % less time of default solver time,30.04977376
2276.313,1061178,14.01906,2,14.01906,236137.5,37052868,0.000184,jan99jac040,good,good,0.005207,-96.47,-96.47 % less time of default solver time,28.29891304
2344.653,1471697,18.02107,2,18.02107,146252.3,37052868,0.000479,jan99jac100,good,good,0.01271,-96.23,-96.23 % less time of default solver time,26.53444676
531.1832,2097152,9.976185,2,13.15285,6822.776,37052868,0.000162,mark3jac020sc,good,good,0.003648,-95.56,-95.56 % less time of default solver time,22.51851852
964.4461,13573.88,16.30513,2,17.01146,60.48911,37052868,0.000105,g7jac010sc,good,good,0.00226,-95.35,-95.35 % less time of default solver time,21.52380952
5251.685,890802,46.89656,1,45.99347,1922.782,37052868,0.000331,rajat27,good,good,0.00706,-95.31,-95.31 % less time of default solver time,21.32930514
103.1031,25.41258,18.65127,1,18.65127,8105.049,36025721,0.001346,cavity06,good,good,0.024206,-94.44,-94.44 % less time of default solver time,17.98365527
103.1031,25.41258,18.65127,1,18.65127,8105.049,32168837,0.001427,cavity06,good,good,0.024206,-94.1,-94.1 % less time of default solver time,16.96285915
56.49718,122.5665,31.26733,9,31.26733,204.9021,37052868,0.001259,ex28,good,good,0.021035,-94.01,-94.01 % less time of default solver time,16.70770453
1711.529,949602.7,10.7586,2,10.7586,237587.1,37052868,0.000143,jan99jac020,good,good,0.002213,-93.54,-93.54 % less time of default solver time,15.47552448
2344.653,1179444,18.02107,2,18.02107,262112.2,37052868,0.000415,jan99jac060,good,good,0.00611,-93.21,-93.21 % less time of default solver time,14.72289157
138.2495,2785983000,16.79706,8,16.79706,1.372742,37052868,0.000122,ex7,good,good,0.00174,-92.99,-92.99 % less time of default solver time,14.26229508
790.0977,1.075141,11.9998,2,11.9998,12464210,37052868,0.000172,adder_dcop_01,good,good,0.002383,-92.78,-92.78 % less time of default solver time,13.85465116
80.18241,0.6447,21.36283,6,21.36283,20.00685,37052868,0.000289,ex21,good,good,0.003923,-92.63,-92.63 % less time of default solver time,13.57439446
20.85714,1,18.37362,1,18.37362,4359635000,37052868,0.00007,watt_1,good,good,0.000918,-92.37,-92.37 % less time of default solver time,13.11428571
1536.241,696.0369,15,2,15,8579.879,37052868,0.000073,circuit_2,good,good,0.000843,-91.34,-91.34 % less time of default solver time,11.54794521
964.4461,20373660,24.44239,2,19.29646,60222.06,37052868,0.00006,g7jac010,good,good,0.00062,-90.32,-90.32 % less time of default solver time,10.33333333
1306.463,4834.05,14.38436,2,13.97741,136921.3,37052868,0.00004,extr1b_A_26,good,good,0.000366,-89.07,-89.07 % less time of default solver time,9.15
8.393939,14331850,27.09879,1,25.93517,8.125526,32168837,0.000052,DK01R,good,good,0.000455,-88.57,-88.57 % less time of default solver time,8.75
8.393939,14331850,27.09879,1,25.93517,8.125526,36025721,0.000052,DK01R,good,good,0.000455,-88.57,-88.57 % less time of default solver time,8.75
793.8216,1.659115,98.94544,2,98.94544,102.3002,36025721,0.000106,adder_dcop_51,good,good,0.000918,-88.45,-88.45 % less time of default solver time,8.660377358
1024.006,20004,24.46265,3,24.46265,50605.8,32168837,0.000304,Chebyshev2,good,good,0.002548,-88.07,-88.07 % less time of default solver time,8.381578947
793.8216,1.644497,98.94543,2,98.94543,94.88419,36025721,0.000108,adder_dcop_52,good,good,0.000843,-87.19,-87.19 % less time of default solver time,7.805555556
