@ATTRIBUTE ellipse-ax NUMERIC
@ATTRIBUTE ellipse-ay NUMERIC
@ATTRIBUTE ellipse-cx NUMERIC
@ATTRIBUTE normF NUMERIC
@ATTRIBUTE normInf NUMERIC
@ATTRIBUTE lambda-max-by-real-part-im NUMERIC
@ATTRIBUTE lambda-max-by-real-part-re NUMERIC
@ATTRIBUTE nnzdia NUMERIC
@ATTRIBUTE avgdistfromdiag NUMERIC
@ATTRIBUTE solver {"11256944","99720138","11256942","11256943","11256941","42851841","81986705","82456576","53362206","45869639","45869638","45869637","12321508","30870723","53302993","44526267","90783920","30870722","30870721","30870720","36564233","36564232","36564235","36564234","13323659","95762355","95762354","95762353","95762352","45869640"}
@ATTRIBUTE class {good,bad}
@DATA

?,100,9,?,99,9,1,8,254.2017,?,38612,215.3918,66.22222,87025,4.850837,?,100,388.2367,215.3993,100,87025,?,16.83003,-0.7180107,?,?,38612,?,253.1138,0.9638526,164951.1,?,9801,100,1.0,164951.1,4,2,1.012551,9801,?,8,19.62649,37.20261,?,33970.96,254.2823,?,10920.05,16,127.0971,?,127.1046,2708.055,388.7847,?,254.2017,9801,8,"95762354",bad
?,100,9,?,99,9,1,8,490.068,?,38612,417.1434,66.22222,87025,4.816579,?,100,760.8224,417.1509,100,87025,?,18.7483,-1.923689,?,?,38612,?,489.6732,1.032237,183752.1,?,9801,100,1.0,183752.1,4,2,1.140008,9801,?,8,29.40092,83.41673,?,65554.59,490.338,?,10920.05,22,245.0302,?,245.0377,3647.064,762.1984,?,490.068,9801,8,"82456576",bad
?,100,9,?,99,9,1,8,490.068,?,38612,417.1434,66.22222,87025,4.816579,?,100,760.8224,417.1509,100,87025,?,18.7483,-1.923689,?,?,38612,?,489.6732,1.032237,183752.1,?,9801,100,1.0,183752.1,4,2,1.140008,9801,?,8,29.40092,83.41673,?,65554.59,490.338,?,10920.05,22,245.0302,?,245.0377,3647.064,762.1984,?,490.068,9801,8,"12321508",bad
?,100,9,?,99,9,1,8,490.068,?,38612,417.1434,66.22222,87025,4.816579,?,100,760.8224,417.1509,100,87025,?,18.7483,-1.923689,?,?,38612,?,489.6732,1.032237,183752.1,?,9801,100,1.0,183752.1,4,2,1.140008,9801,?,8,29.40092,83.41673,?,65554.59,490.338,?,10920.05,22,245.0302,?,245.0377,3647.064,762.1984,?,490.068,9801,8,"95762354",bad
?,100,9,?,99,9,1,8,168.1744,?,38612,149.1336,66.22222,87025,4.818934,?,100,252.8372,149.141,100,87025,?,16.40641,-0.02938731,?,?,38612,?,168.1744,0.9227812,160799.2,?,9801,100,1.0,160799.2,4,2,0.9604615,9801,?,8,17.39499,22.42224,?,22468.97,168.1939,?,10920.05,18,84.08345,?,84.09093,2506.259,252.866,?,168.1744,9801,8,"82456576",bad
?,100,9,?,99,9,1,8,168.1744,?,38612,149.1336,66.22222,87025,4.818934,?,100,252.8372,149.141,100,87025,?,16.40641,-0.02938731,?,?,38612,?,168.1744,0.9227812,160799.2,?,9801,100,1.0,160799.2,4,2,0.9604615,9801,?,8,17.39499,22.42224,?,22468.97,168.1939,?,10920.05,18,84.08345,?,84.09093,2506.259,252.866,?,168.1744,9801,8,"12321508",bad
?,100,9,?,99,9,1,8,168.1744,?,38612,149.1336,66.22222,87025,4.818934,?,100,252.8372,149.141,100,87025,?,16.40641,-0.02938731,?,?,38612,?,168.1744,0.9227812,160799.2,?,9801,100,1.0,160799.2,4,2,0.9604615,9801,?,8,17.39499,22.42224,?,22468.97,168.1939,?,10920.05,18,84.08345,?,84.09093,2506.259,252.866,?,168.1744,9801,8,"95762354",bad
?,100,9,?,99,9,1,8,180.9453,?,38612,157.7661,66.22222,87025,4.818934,?,100,273.16,157.7736,100,87025,?,16.44538,-0.2409192,?,?,38612,?,180.4886,0.9234984,161181.1,?,9801,100,1.0,161181.1,4,2,0.9604615,9801,?,8,17.60646,24.08351,?,24106.41,180.9743,?,10920.05,18,90.46891,?,90.47641,2524.975,273.3755,?,180.9453,9801,8,"82456576",bad
?,100,9,?,99,9,1,8,180.9453,?,38612,157.7661,66.22222,87025,4.818934,?,100,273.16,157.7736,100,87025,?,16.44538,-0.2409192,?,?,38612,?,180.4886,0.9234984,161181.1,?,9801,100,1.0,161181.1,4,2,0.9604615,9801,?,8,17.60646,24.08351,?,24106.41,180.9743,?,10920.05,18,90.46891,?,90.47641,2524.975,273.3755,?,180.9453,9801,8,"12321508",bad
?,100,9,?,99,9,1,8,180.9453,?,38612,157.7661,66.22222,87025,4.818934,?,100,273.16,157.7736,100,87025,?,16.44538,-0.2409192,?,?,38612,?,180.4886,0.9234984,161181.1,?,9801,100,1.0,161181.1,4,2,0.9604615,9801,?,8,17.60646,24.08351,?,24106.41,180.9743,?,10920.05,18,90.46891,?,90.47641,2524.975,273.3755,?,180.9453,9801,8,"95762354",bad
