config,nprocs,solverid,solvername,name,count,maxtime,avg time/solve,maxflops,messages,avgmsglen,reductions,max mflop/s,speedup,efficiency
s20_g1,192,30870720,gmres/asm/overlap2,KSPSolve,2,1.2994e-02,6.497000e-03,3.98e+05,2.3e+05,6.8e+01,2.4e+02,3448,0.0033605178207789348,0.042006472759736686
s20_g1,192,81986705,cg/jacobi,KSPSolve,1,1.6580e-03,1.658000e-03,2.51e+03,2.1e+03,4.7e+01,1.8e+01,146,0.0038346786317274557,0.0019972284540247165
s20_g1,192,69323954,gmres/none,KSPSolve,2,1.6170e-02,8.085000e-03,6.02e+05,2.7e+05,4.7e+01,8.0e+02,3636,0.003234,0.040424999999999996
s20_g1,192,36564233,bicg/asm/overlap1,KSPSolve,2,1.5606e-02,7.803000e-03,5.04e+05,3.4e+05,5.2e+01,3.7e+02,3291,0.0013453448275862069,0.0007007004310344828
s20_g1,192,36564232,bicg/asm/overlap0,KSPSolve,2,1.6168e-02,8.084000e-03,4.68e+05,2.9e+05,4.7e+01,6.4e+02,2557,0.0014182456140350876,0.0007386695906432748
s20_g1,192,36564235,bicg/asm/overlap3,KSPSolve,2,3.1006e-02,1.550300e-02,9.52e+05,6.1e+05,6.4e+01,2.5e+02,3756,0.0026729310344827586,0.00139215158045977
s20_g1,192,36564234,bicg/asm/overlap2,KSPSolve,2,1.4614e-02,7.307000e-03,6.73e+05,4.5e+05,5.9e+01,2.8e+02,5310,0.0012819298245614035,0.000667671783625731
s20_g1,192,13323659,bicg/bjacobi,KSPSolve,2,1.5315e-02,7.657500e-03,4.68e+05,2.9e+05,4.7e+01,6.3e+02,2699,0.0015014705882352942,0.000782015931372549
s20_g1,192,95762355,cg/asm/overlap0,KSPSolve,1,1.9156e-02,1.915600e-02,2.47e+05,1.5e+05,4.7e+01,6.4e+02,1147,0.0030406349206349207,0.001583664021164021
s20_g1,192,95762354,cg/asm/overlap1,KSPSolve,1,1.4542e-02,1.454200e-02,4.00e+05,2.6e+05,5.0e+01,5.6e+02,2805,0.0022721875,0.0011834309895833333
s20_g1,192,95762353,cg/asm/overlap2,KSPSolve,1,2.3533e-01,2.353300e-01,1.10e+07,7.1e+06,4.9e+01,8.7e+03,5403,0.036204615384615384,0.01885657051282051
s20_g1,192,95762352,cg/asm/overlap3,KSPSolve,1,7.4572e-01,7.457200e-01,4.29e+07,2.6e+07,5.1e+01,2.1e+04,7039,0.11651875,0.06068684895833334
s20_g1,192,45869640,fgmres/asm/overlap1,KSPSolve,2,1.3444e-02,6.722000e-03,3.29e+05,1.6e+05,5.7e+01,3.6e+02,2462,0.003009851195500178,0.03762313994375223
