avg-diag-dist,norm1,col-variability,min-nnzeros-per-row,row-variability,kappa, time, solver,matrix_name, actual_class,predicted_class,default_time,Time Difference,Comparison,SpeedUp
6827.318,138457900,25.59061,2,19.77358,9874.285,0.001414,29030070,g7jac100,bad,fair,4.0286,-99.96,-99.96 % less time of default solver time,2849.080622
1306.423,4849.372,14.34569,2,13.1715,26179.48,0.000134,69654763,extr1b_A_24,fair,fair,0.38177,-99.96,-99.96 % less time of default solver time,2849.029851
1306.463,4841.603,14.42482,2,13.38897,42863.94,0.000133,69654763,extr1b_A_37,fair,fair,0.37439,-99.96,-99.96 % less time of default solver time,2814.962406
531.1134,12208740,21.60955,2,18.71334,1.977884,0.002995,29030070,mark3jac100,fair,fair,8.3513,-99.96,-99.96 % less time of default solver time,2788.414023
192.2968,4605960,22.25839,1,22.25833,1,0.001533,29030070,cz20468,fair,fair,4.1895,-99.96,-99.96 % less time of default solver time,2732.876712
2411.993,1.00E+20,20,1,20,35232270,0.00025,29030070,bips98_1450,fair,fair,0.68082,-99.96,-99.96 % less time of default solver time,2723.28
249.1577,18404410,20.45239,1,20.45239,2.389409,0.003282,29030070,cz40948,fair,fair,8.9254,-99.96,-99.96 % less time of default solver time,2719.500305
1381.255,3.67E+12,111.0801,2,113.3405,3.72918,0.000197,29030070,bayer07,fair,fair,0.52749,-99.96,-99.96 % less time of default solver time,2677.614213
1306.423,4841.575,14.40689,2,13.4073,42993.7,0.000141,29030070,extr1b_A_34,fair,fair,0.37655,-99.96,-99.96 % less time of default solver time,2670.567376
1306.423,4865.899,14.31667,2,12.859,13107.05,0.000145,69654763,extr1b_A_19,fair,fair,0.37743,-99.96,-99.96 % less time of default solver time,2602.965517
1306.123,4840.153,14.43798,2,13.4357,42220.34,0.000142,69654763,extr1b_A_42,fair,fair,0.36607,-99.96,-99.96 % less time of default solver time,2577.957746
1306.123,4843.661,14.34498,2,13.33393,31017.24,0.000144,69654763,extr1b_A_21,fair,fair,0.37072,-99.96,-99.96 % less time of default solver time,2574.444444
531.1134,12208740,21.60955,2,18.71334,90.24236,0.000634,29030070,mark3jac020,fair,fair,1.63,-99.96,-99.96 % less time of default solver time,2570.977918
6827.318,108614.4,17.59421,2,17.9674,88.41066,0.001421,29030070,g7jac060sc,bad,fair,3.637,-99.96,-99.96 % less time of default solver time,2559.465165
3725.25,53483.49,8.295805,3,8.295805,1.312846,0.000516,29030070,cryg10000,fair,fair,1.3192,-99.96,-99.96 % less time of default solver time,2556.589147
40.66667,0.017157,15.06754,1,15.06754,165.311,0.000639,29030070,inlet_E,fair,fair,1.6284,-99.96,-99.96 % less time of default solver time,2548.356808
1306.423,4865.899,14.31667,2,12.859,13107.05,0.00015,36025721,extr1b_A_19,fair,fair,0.37743,-99.96,-99.96 % less time of default solver time,2516.2
2314.406,27158.11,16.354,2,16.80601,5.012472,0.000364,29030070,g7jac020sc,fair,fair,0.90747,-99.96,-99.96 % less time of default solver time,2493.049451
1381.255,3.67E+12,47.50547,2,49.65997,3.72585,0.000212,37052868,bayer05,good,good,0.5283,-99.96,-99.96 % less time of default solver time,2491.981132
1306.423,4841.575,14.40689,2,13.4073,42993.7,0.000154,19932321,extr1b_A_34,fair,fair,0.37655,-99.96,-99.96 % less time of default solver time,2445.12987
2314.406,26524340,24.13064,2,19.29646,75008.05,0.000102,29030070,g7jac020,good,good,0.24685,-99.96,-99.96 % less time of default solver time,2420.098039
5351.887,54326.47,16.60789,2,17.11999,4.576068,0.000876,37052868,g7jac040sc,good,fair,2.0939,-99.96,-99.96 % less time of default solver time,2390.296804
1018.732,93.69727,30.42735,7,30.103,217.6855,0.000587,32168837,ex26,good,fair,1.398,-99.96,-99.96 % less time of default solver time,2381.601363
1381.255,3.67E+12,47.50547,2,49.65997,3.72585,0.000223,69654763,bayer05,good,good,0.5283,-99.96,-99.96 % less time of default solver time,2369.058296
1381.255,3.67E+12,111.0801,2,113.3405,3.72918,0.000225,69654763,bayer07,fair,fair,0.52749,-99.96,-99.96 % less time of default solver time,2344.4
5351.887,42447280,24.64615,2,19.29646,103741.2,0.000268,37052868,g7jac040,good,fair,0.6211,-99.96,-99.96 % less time of default solver time,2317.537313
1306.423,4845.709,14.42637,2,13.24285,41830.12,0.000165,36025721,extr1b_A_40,fair,fair,0.37731,-99.96,-99.96 % less time of default solver time,2286.727273
1306.463,4841.603,14.42482,2,13.38897,42863.94,0.000164,36025721,extr1b_A_37,fair,fair,0.37439,-99.96,-99.96 % less time of default solver time,2282.865854
