318,d,poequ,double/dpoequ.f
319,c,poequ,complex/cpoequ.f
320,z,poequ,complex16/zpoequ.f
321,s,pbequ,single/spbequ.f
322,d,pbequ,double/dpbequ.f
323,c,pbequ,complex/cpbequ.f
324,z,pbequ,complex16/zpbequ.f
325,s,ppequ,single/sppequ.f
326,d,ppequ,double/dppequ.f
327,c,ppequ,complex/cppequ.f
328,z,ppequ,complex16/zppequ.f
329,s,sytrs2,single/ssytrs2.f
330,d,sytrs2,double/dsytrs2.f
331,c,sytrs2,complex/csytrs2.f
332,z,sytrs2,complex16/zsytrs2.f
333,c,hetrs2,complex/chetrs2.f
334,z,hetrs2,complex16/zhetrs2.f
335,d,sgesv,double/dsgesv.f
336,d,sposv,double/dsposv.f
337,s,sytri2,single/ssytri2.f
338,d,sytri2,double/dsytri2.f
339,c,sytri2,complex/csytri2.f
340,z,sytri2,complex16/zsytri2.f
