lambda-max-by-magnitude-im,right-bandwidth,avgdistfromdiag,symmetry,n-dummy-rows,blocksize,max-nnzeros-per-row,diag-definite,avgnnzprow,lambda-max-by-magnitude-re,ellipse-cy,nnzup,ruhe75-bound,avg-diag-dist,nnz,lambda-max-by-im-part-im,left-bandwidth,norm1,sigma-min,upband,n-struct-unsymm,lambda-min-by-magnitude-im,diagonal-average,diagonal-dominance,dummy-rows,ritz-values-r,symmetry-snorm,symmetry-fanorm,symmetry-fsnorm,colours,lambda-max-by-im-part-re,col-variability,trace-abs,ritz-values-c,nnzeros,diag-zerostart,loband,positive-fraction,trace,min-nnzeros-per-row,diagonal-sign,row-variability,nrows,lambda-max-by-real-part-im,colour-offsets,n-colours,relsymm,diagonal-variance,departure,nnzlow,n-nonzero-diags,sigma-max,dummy-rows-kind,kappa,n-ritz-values,colour-set-sizes,sigma-diag-dist,symmetry-anorm,ellipse-ax,ellipse-ay,ellipse-cx,normF,normInf,lee95-bound,lambda-max-by-real-part-re,nnzdia,trace-asquared,solver,class,matrix_name,solver_time,default_time,Time Difference,Comparison,SpeedUp
0,0,1,0,12517,1,133,0,1,0,0,0,26.54195,4619.115,16107,0,13138,104,9.599049,0,0,0,0,-206,0,0,0,0,0,0,0,1.113943,0,0,16107,0,13138,0.5,0,1,10,1.113943,13332,0,0,7,0,0,68.95651,2775,2426,27.09887,1,50.34842,240,0,96108990,0,0.384386,0.213607,0.172535,70.40597,206,0,0,13332,0,69654762,good,Reuters911_Day_12,0.010979,0.021751,-49.52,-49.52 % less time of default solver time,1.981145824
0,0,1,0,12517,1,133,0,1,0,0,0,26.54195,4619.115,16107,0,13138,104,9.599049,0,0,0,0,-206,0,0,0,0,0,0,0,1.113943,0,0,16107,0,13138,0.5,0,1,10,1.113943,13332,0,0,7,0,0,68.95651,2775,2426,27.09887,1,50.34842,240,0,96108990,0,0.384386,0.213607,0.172535,70.40597,206,0,0,13332,0,19932324,good,Reuters911_Day_12,0.011083,0.021751,-49.05,-49.05 % less time of default solver time,1.962555265
0,0,3,0,371,1,5,1,3,0.000274,0,0,0.000568,561.7257,5177,0,1327,0.001127,0.000571,0,3820,0,0.000129,0,0,0,0.000895,0.001252,0.006364,0,0.000227,6.058414,0.175147,0,5177,1357,1327,1,0.175147,1,2,6.058414,1357,0,0,4,0.262121,0.00011,0.00177,3820,977,0.00072,1,165.0752,45,0,1384263,0.000298,0.000296,0.000003,0.0003,0.006486,0.000895,0.00177,0.000597,1357,0.000039,32168837,good,rail_1357_E,0.008959,0.01738,-48.45,-48.45 % less time of default solver time,1.939948655
0,100,8,0,0,99,9,1,8,167.7161,0,38612,148.8563,66.22222,87025,0,100,252.0465,148.8638,100,0,0,16.40549,-0.000155,0,0,252.0465,15.81969,2505.744,0,167.7161,0.922781,160790.2,0,87025,9801,100,1,160790.2,4,2,0.960462,9801,0,0,8,1,17.38965,22.37242,38612,9,167.7356,0,22407.62,18,0,10920.05,2.685537,83.8543,0,83.86179,2505.794,252.0466,22.37242,167.7161,9801,6278503,18868442,good,t2d_q4_A_18,0.175195,0.3368,-47.98,-47.98 % less time of default solver time,1.922429293
0,0,3,0,13,1,6,0,3,-0.000012,0,0,0.000138,39.8125,6209,0,93,0.000207,0.00014,0,4541,0,0.000035,-0.0002,0,0,0.000175,0.000558,0.002102,0,-0.000012,20.86125,0.058495,0,6209,1668,93,0,-0.058495,1,-2,20.86125,1668,0,0,5,0.268642,0.000035,0.00079,4541,80,0.000142,1,46.88194,34,0,6900.168,0.000059,0.000057,0.000019,-0.00006,0.002175,0.0002,0.00079,-0.000002,1668,0.000004,32168838,good,filter2D,0.009776,0.018787,-47.96,-47.96 % less time of default solver time,1.921747136
0,0,1,0,12517,1,133,0,1,0,0,0,26.54195,4619.115,16107,0,13138,104,9.599049,0,0,0,0,-206,0,0,0,0,0,0,0,1.113943,0,0,16107,0,13138,0.5,0,1,10,1.113943,13332,0,0,7,0,0,68.95651,2775,2426,27.09887,1,50.34842,240,0,96108990,0,0.384386,0.213607,0.172535,70.40597,206,0,0,13332,0,18868442,good,Reuters911_Day_12,0.011359,0.021751,-47.78,-47.78 % less time of default solver time,1.914869267
0,0,3,0,13,1,6,0,3,-0.000012,0,0,0.000138,39.8125,6209,0,93,0.000207,0.00014,0,4541,0,0.000035,-0.0002,0,0,0.000175,0.000558,0.002102,0,-0.000012,20.86125,0.058495,0,6209,1668,93,0,-0.058495,1,-2,20.86125,1668,0,0,5,0.268642,0.000035,0.00079,4541,80,0.000142,1,46.88194,34,0,6900.168,0.000059,0.000057,0.000019,-0.00006,0.002175,0.0002,0.00079,-0.000002,1668,0.000004,12321508,good,filter2D,0.010008,0.018787,-46.73,-46.73 % less time of default solver time,1.877198241
0,100,8,0,0,99,9,1,8,167.7161,0,38612,148.8563,66.22222,87025,0,100,252.0465,148.8638,100,0,0,16.40549,-0.000155,0,0,252.0465,15.81969,2505.744,0,167.7161,0.922781,160790.2,0,87025,9801,100,1,160790.2,4,2,0.960462,9801,0,0,8,1,17.38965,22.37242,38612,9,167.7356,0,22407.62,18,0,10920.05,2.685537,83.8543,0,83.86179,2505.794,252.0466,22.37242,167.7161,9801,6278503,88865076,good,t2d_q4_A_18,0.180398,0.3368,-46.44,-46.44 % less time of default solver time,1.866983004
0,100,8,0,0,99,9,1,8,167.7161,0,38612,148.8563,66.22222,87025,0,100,252.0465,148.8638,100,0,0,16.40549,-0.000155,0,0,252.0465,15.81969,2505.744,0,167.7161,0.922781,160790.2,0,87025,9801,100,1,160790.2,4,2,0.960462,9801,0,0,8,1,17.38965,22.37242,38612,9,167.7356,0,22407.62,18,0,10920.05,2.685537,83.8543,0,83.86179,2505.794,252.0466,22.37242,167.7161,9801,6278503,36025722,good,t2d_q4_A_18,0.182903,0.3368,-45.69,-45.69 % less time of default solver time,1.841413208
0,0,1,0,12517,1,133,0,1,0,0,0,26.54195,4619.115,16107,0,13138,104,9.599049,0,0,0,0,-206,0,0,0,0,0,0,0,1.113943,0,0,16107,0,13138,0.5,0,1,10,1.113943,13332,0,0,7,0,0,68.95651,2775,2426,27.09887,1,50.34842,240,0,96108990,0,0.384386,0.213607,0.172535,70.40597,206,0,0,13332,0,11256941,good,Reuters911_Day_12,0.011818,0.021751,-45.67,-45.67 % less time of default solver time,1.840497546
