@relation petsc_anamod_aciss_40_60NoNoise

@attribute avg-diag-dist numeric
@attribute norm1 numeric
@attribute col-variability numeric
@attribute min-nnzeros-per-row numeric
@attribute row-variability numeric
@attribute kappa numeric
@attribute ' time' numeric
@attribute ' solver' numeric
@attribute ' class' {good,fair,bad}

@data
793.8216,1.644497,98.94543,2,98.94543,94.88419,0.000175,37052868,fair
793.8216,1.663283,98.94544,2,98.94544,102.4127,0.019356,45869639,fair
793.8216,1.663283,98.94544,2,98.94544,102.4127,0.000847,32168839,fair
793.8216,1.663283,98.94544,2,98.94544,102.4127,0.000154,32168837,good
793.8216,1.663283,98.94544,2,98.94544,102.4127,0.000333,29030070,fair
793.8216,1.663283,98.94544,2,98.94544,102.4127,0.000215,7285382,fair
793.8216,1.663283,98.94544,2,98.94544,102.4127,0.000586,36564232,fair
793.8216,1.663283,98.94544,2,98.94544,102.4127,1.79769313486E308,81986705,fair
793.8216,1.663283,98.94544,2,98.94544,102.4127,0.00026,69654763,fair
793.8216,1.663283,98.94544,2,98.94544,102.4127,0.000223,19932321,fair
793.8216,1.663283,98.94544,2,98.94544,102.4127,0.000118,36025721,good
793.8216,1.663283,98.94544,2,98.94544,102.4127,0.000175,37052868,bad
793.8216,1.659115,98.94544,2,98.94544,102.3002,0.01935,45869639,fair
793.8216,1.659115,98.94544,2,98.94544,102.3002,0.000918,32168839,fair
793.8216,1.659115,98.94544,2,98.94544,102.3002,0.000349,29030070,fair
793.8216,1.659115,98.94544,2,98.94544,102.3002,0.000203,7285382,fair
793.8216,1.659115,98.94544,2,98.94544,102.3002,0.000588,36564232,fair
793.8216,1.659115,98.94544,2,98.94544,102.3002,1.79769313486E308,81986705,fair
793.8216,1.659115,98.94544,2,98.94544,102.3002,0.000256,69654763,fair
793.8216,1.659115,98.94544,2,98.94544,102.3002,0.000221,19932321,fair
793.8216,1.659115,98.94544,2,98.94544,102.3002,0.000106,36025721,good
793.8216,1.659115,98.94544,2,98.94544,102.3002,0.000175,37052868,fair
793.8216,1.644563,98.94545,2,98.94545,101.9362,0.019651,45869639,fair
793.8216,1.644563,98.94545,2,98.94545,101.9362,0.000303,32168839,fair
793.8216,1.644563,98.94545,2,98.94545,101.9362,0.000333,29030070,fair
793.8216,1.644563,98.94545,2,98.94545,101.9362,0.000203,7285382,fair
793.8216,1.644563,98.94545,2,98.94545,101.9362,0.000693,36564232,fair
793.8216,1.644563,98.94545,2,98.94545,101.9362,1.79769313486E308,81986705,fair
793.8216,1.644563,98.94545,2,98.94545,101.9362,0.000266,69654763,fair
793.8216,1.644563,98.94545,2,98.94545,101.9362,0.000232,19932321,fair
793.8216,1.644563,98.94545,2,98.94545,101.9362,0.000106,36025721,good
793.8216,1.644563,98.94545,2,98.94545,101.9362,0.000176,37052868,fair
793.8216,1.644563,98.9454,2,98.9454,101.9332,0.01938,45869639,fair
793.8216,1.644563,98.9454,2,98.9454,101.9332,0.000849,32168839,fair
793.8216,1.644563,98.9454,2,98.9454,101.9332,0.000338,29030070,fair
793.8216,1.644563,98.9454,2,98.9454,101.9332,0.000203,7285382,fair
793.8216,1.644563,98.9454,2,98.9454,101.9332,0.000543,36564232,fair
793.8216,1.644563,98.9454,2,98.9454,101.9332,1.79769313486E308,81986705,fair
793.8216,1.644563,98.9454,2,98.9454,101.9332,0.000264,69654763,fair
793.8216,1.644563,98.9454,2,98.9454,101.9332,0.000223,19932321,fair
793.8216,1.644563,98.9454,2,98.9454,101.9332,0.000112,36025721,good
793.8216,1.644563,98.9454,2,98.9454,101.9332,0.000175,37052868,bad
793.8216,1.663496,98.94544,2,98.94544,61.85733,0.000349,32168839,fair
793.8216,1.663496,98.94544,2,98.94544,61.85733,0.000205,32168837,fair
793.8216,1.663496,98.94544,2,98.94544,61.85733,1.79769313486E308,90783920,fair
793.8216,1.663496,98.94544,2,98.94544,61.85733,0.000341,29030070,fair
793.8216,1.663496,98.94544,2,98.94544,61.85733,0.00021,7285382,fair
793.8216,1.663496,98.94544,2,98.94544,61.85733,0.000435,36564232,fair
793.8216,1.663496,98.94544,2,98.94544,61.85733,1.79769313486E308,81986705,fair
793.8216,1.663496,98.94544,2,98.94544,61.85733,0.000253,69654763,fair
793.8216,1.663496,98.94544,2,98.94544,61.85733,0.000409,19932321,fair
793.8216,1.663496,98.94544,2,98.94544,61.85733,0.000118,36025721,good
793.8216,1.663496,98.94544,2,98.94544,61.85733,0.000176,37052868,bad
793.8216,1.664518,98.94544,2,98.94544,84.28226,0.095092,45869639,fair
793.8216,1.664518,98.94544,2,98.94544,84.28226,0.000416,32168839,fair
793.8216,1.664518,98.94544,2,98.94544,84.28226,0.000306,32168837,fair
793.8216,1.664518,98.94544,2,98.94544,84.28226,0.000333,29030070,fair
793.8216,1.664518,98.94544,2,98.94544,84.28226,0.000154,7285382,bad
793.8216,1.664518,98.94544,2,98.94544,84.28226,0.000321,36564232,fair
793.8216,1.664518,98.94544,2,98.94544,84.28226,1.79769313486E308,81986705,fair
793.8216,1.664518,98.94544,2,98.94544,84.28226,0.000168,69654763,bad
793.8216,1.664518,98.94544,2,98.94544,84.28226,0.000235,19932321,fair
793.8216,1.664518,98.94544,2,98.94544,84.28226,0.000106,36025721,good
793.8216,1.664518,98.94544,2,98.94544,84.28226,0.000175,37052868,fair
793.8216,1.664904,98.94544,2,98.94544,72.25599,0.13739,45869639,fair
793.8216,1.664904,98.94544,2,98.94544,72.25599,0.00019,32168839,fair
793.8216,1.664904,98.94544,2,98.94544,72.25599,0.000344,29030070,fair
793.8216,1.664904,98.94544,2,98.94544,72.25599,0.000163,7285382,bad
793.8216,1.664904,98.94544,2,98.94544,72.25599,0.000275,36564232,fair
793.8216,1.664904,98.94544,2,98.94544,72.25599,1.79769313486E308,81986705,fair
793.8216,1.664904,98.94544,2,98.94544,72.25599,0.000154,69654763,bad
793.8216,1.664904,98.94544,2,98.94544,72.25599,0.000212,19932321,fair
793.8216,1.664904,98.94544,2,98.94544,72.25599,0.000106,36025721,good
793.8216,1.664904,98.94544,2,98.94544,72.25599,0.00018,37052868,fair
793.8216,1.664052,98.94544,2,98.94544,83.51729,0.065412,45869639,fair
793.8216,1.664052,98.94544,2,98.94544,83.51729,0.000181,32168839,fair
793.8216,1.664052,98.94544,2,98.94544,83.51729,0.000103,32168837,good
793.8216,1.664052,98.94544,2,98.94544,83.51729,0.000333,29030070,fair
793.8216,1.664052,98.94544,2,98.94544,83.51729,0.000109,7285382,good
793.8216,1.664052,98.94544,2,98.94544,83.51729,0.000222,36564232,fair
793.8216,1.664052,98.94544,2,98.94544,83.51729,1.79769313486E308,81986705,fair
793.8216,1.664052,98.94544,2,98.94544,83.51729,0.000152,69654763,bad
793.8216,1.664052,98.94544,2,98.94544,83.51729,0.000223,19932321,fair
793.8216,1.664052,98.94544,2,98.94544,83.51729,0.000117,36025721,good
793.8216,1.664052,98.94544,2,98.94544,83.51729,0.000175,37052868,fair
793.8216,1.837046,174.2405,2,174.2405,63.17217,0.059831,45869639,fair
793.8216,1.837046,174.2405,2,174.2405,63.17217,0.000341,32168839,fair
793.8216,1.837046,174.2405,2,174.2405,63.17217,0.000334,29030070,fair
793.8216,1.837046,174.2405,2,174.2405,63.17217,0.000103,7285382,good
793.8216,1.837046,174.2405,2,174.2405,63.17217,0.00022,36564232,fair
793.8216,1.837046,174.2405,2,174.2405,63.17217,1.79769313486E308,81986705,fair
793.8216,1.837046,174.2405,2,174.2405,63.17217,0.000162,69654763,bad
793.8216,1.837046,174.2405,2,174.2405,63.17217,0.00024,19932321,fair
793.8216,1.837046,174.2405,2,174.2405,63.17217,0.000106,36025721,good
793.8216,1.837046,174.2405,2,174.2405,63.17217,0.000174,37052868,fair
793.8216,1.644563,98.94544,2,98.94544,62.8272,0.019309,45869639,fair
793.8216,1.644563,98.94544,2,98.94544,62.8272,0.000673,32168839,fair
793.8216,1.644563,98.94544,2,98.94544,62.8272,0.000162,32168837,good
793.8216,1.644563,98.94544,2,98.94544,62.8272,0.000339,29030070,fair
793.8216,1.644563,98.94544,2,98.94544,62.8272,0.000209,7285382,fair
793.8216,1.644563,98.94544,2,98.94544,62.8272,0.000436,36564232,fair
793.8216,1.644563,98.94544,2,98.94544,62.8272,1.79769313486E308,81986705,fair
793.8216,1.644563,98.94544,2,98.94544,62.8272,0.000259,69654763,fair
793.8216,1.644563,98.94544,2,98.94544,62.8272,0.000223,19932321,fair
793.8216,1.644563,98.94544,2,98.94544,62.8272,0.000116,36025721,good
793.8216,1.644563,98.94544,2,98.94544,62.8272,0.000175,37052868,bad
793.8216,1.644563,98.94544,2,98.94544,101.9363,0.019436,45869639,fair
793.8216,1.644563,98.94544,2,98.94544,101.9363,0.000664,32168839,fair
793.8216,1.644563,98.94544,2,98.94544,101.9363,0.000346,29030070,fair
793.8216,1.644563,98.94544,2,98.94544,101.9363,0.000203,7285382,fair
793.8216,1.644563,98.94544,2,98.94544,101.9363,0.000435,36564232,fair
793.8216,1.644563,98.94544,2,98.94544,101.9363,1.79769313486E308,81986705,fair
793.8216,1.644563,98.94544,2,98.94544,101.9363,0.000254,69654763,fair
793.8216,1.644563,98.94544,2,98.94544,101.9363,0.000211,19932321,fair
793.8216,1.644563,98.94544,2,98.94544,101.9363,0.000116,36025721,good
793.8216,1.644563,98.94544,2,98.94544,101.9363,0.000179,37052868,bad
793.8216,1.644563,98.94544,2,98.94544,101.9363,0.017774,45869639,fair
793.8216,1.644563,98.94544,2,98.94544,101.9363,0.000348,89269801,fair
793.8216,1.644563,98.94544,2,98.94544,101.9363,0.28888,59072883,fair
793.8216,1.644563,98.94544,2,98.94544,101.9363,0.000351,32168839,fair
793.8216,1.644563,98.94544,2,98.94544,101.9363,0.000573,11256941,fair
793.8216,1.644563,98.94544,2,98.94544,101.9363,0.000336,29030070,fair
793.8216,1.644563,98.94544,2,98.94544,101.9363,0.000204,7285382,bad
793.8216,1.644563,98.94544,2,98.94544,101.9363,0.000428,36564232,fair
793.8216,1.644563,98.94544,2,98.94544,101.9363,1.79769313486E308,81986705,fair
793.8216,1.644563,98.94544,2,98.94544,101.9363,0.000254,69654763,fair
793.8216,1.644563,98.94544,2,98.94544,101.9363,0.000403,19932321,fair
793.8216,1.644563,98.94544,2,98.94544,101.9363,0.00076,80361467,fair
793.8216,1.644563,98.94544,2,98.94544,101.9363,0.56285,32874610,fair
793.8216,1.644563,98.94544,2,98.94544,101.9363,0.000129,36025721,good
793.8216,1.644563,98.94544,2,98.94544,101.9363,0.000183,37052868,bad
793.8216,1.644563,98.94544,2,98.94544,62.8272,0.019159,45869639,fair
793.8216,1.644563,98.94544,2,98.94544,62.8272,0.000398,32168839,fair
793.8216,1.644563,98.94544,2,98.94544,62.8272,0.000291,32168837,fair
793.8216,1.644563,98.94544,2,98.94544,62.8272,0.000332,29030070,fair
793.8216,1.644563,98.94544,2,98.94544,62.8272,0.000205,7285382,fair
793.8216,1.644563,98.94544,2,98.94544,62.8272,0.00054,36564232,fair
793.8216,1.644563,98.94544,2,98.94544,62.8272,1.79769313486E308,81986705,fair
793.8216,1.644563,98.94544,2,98.94544,62.8272,0.000253,69654763,fair
793.8216,1.644563,98.94544,2,98.94544,62.8272,0.000402,19932321,fair
793.8216,1.644563,98.94544,2,98.94544,62.8272,0.000116,36025721,good
793.8216,1.644563,98.94544,2,98.94544,62.8272,0.00018,37052868,bad
793.8216,1.644563,98.94544,2,98.94544,94.88779,0.0195,45869639,fair
793.8216,1.644563,98.94544,2,98.94544,94.88779,0.000477,32168839,fair
793.8216,1.644563,98.94544,2,98.94544,94.88779,0.000337,29030070,fair
793.8216,1.644563,98.94544,2,98.94544,94.88779,0.000203,7285382,fair
793.8216,1.644563,98.94544,2,98.94544,94.88779,0.000636,36564232,fair
793.8216,1.644563,98.94544,2,98.94544,94.88779,1.79769313486E308,81986705,fair
793.8216,1.644563,98.94544,2,98.94544,94.88779,0.000265,69654763,fair
793.8216,1.644563,98.94544,2,98.94544,94.88779,0.000211,19932321,fair
793.8216,1.644563,98.94544,2,98.94544,94.88779,0.000106,36025721,good
793.8216,1.644563,98.94544,2,98.94544,94.88779,0.000175,37052868,fair
793.8216,1.916559,99.21325,2,99.21325,81.59196,0.0183,45869639,fair
793.8216,1.916559,99.21325,2,99.21325,81.59196,0.000089,32168839,good
793.8216,1.916559,99.21325,2,99.21325,81.59196,0.000104,32168837,good
793.8216,1.916559,99.21325,2,99.21325,81.59196,0.000332,29030070,fair
793.8216,1.916559,99.21325,2,99.21325,81.59196,0.000103,7285382,good
793.8216,1.916559,99.21325,2,99.21325,81.59196,0.000123,36564232,good
793.8216,1.916559,99.21325,2,99.21325,81.59196,1.79769313486E308,81986705,fair
793.8216,1.916559,99.21325,2,99.21325,81.59196,0.000154,69654763,fair
793.8216,1.916559,99.21325,2,99.21325,81.59196,0.000212,19932321,fair
