avg-diag-dist,nnz,norm1,col-variability,min-nnzeros-per-row,row-variability,kappa, time, solver, class
63.71242,527,18672110,21.03124,2,21.03124,20.16326,1.50E-05,29030070,fair
63.71242,527,18672110,21.03124,2,21.03124,20.16326,2.31E-05,36564232,fair
63.71242,527,18672110,21.03124,2,21.03124,20.16326,1.79769313486e+308,81986705,fair
63.71242,527,18672110,21.03124,2,21.03124,20.16326,8.11E-06,37052868,1
0,528,0.02802064,6.932878,1,6.932878,240080.3,1.12E-05,32168837,1
0,528,0.02802064,6.932878,1,6.932878,240080.3,6.91E-06,45869639,1
0,528,0.02802064,6.932878,1,6.932878,240080.3,2.38E-05,32168839,fair
0,528,0.02802064,6.932878,1,6.932878,240080.3,1.29E-05,32168837,fair
0,528,0.02802064,6.932878,1,6.932878,240080.3,1.79769313486e+308,90783920,fair
0,528,0.02802064,6.932878,1,6.932878,240080.3,0.0029831,29030070,fair
0,528,0.02802064,6.932878,1,6.932878,240080.3,1.12E-05,7285382,fair
0,528,0.02802064,6.932878,1,6.932878,240080.3,2.41E-05,36564232,fair
0,528,0.02802064,6.932878,1,6.932878,240080.3,1.79769313486e+308,81986705,fair
0,528,0.02802064,6.932878,1,6.932878,240080.3,2.19E-05,69654763,fair
0,528,0.02802064,6.932878,1,6.932878,240080.3,2.34E-05,19932321,fair
0,528,0.02802064,6.932878,1,6.932878,240080.3,1.38E-05,36025721,fair
0,528,0.02802064,6.932878,1,6.932878,240080.3,0.0015881,37052868,fair
37.99099,540,393248.3,6.609371,2,5.536112,10.55071,7.15E-06,32168839,1
37.99099,540,393248.3,6.609371,2,5.536112,10.55071,6.39E-05,29030070,fair
37.99099,540,393248.3,6.609371,2,5.536112,10.55071,1.19E-05,36564232,fair
37.99099,540,393248.3,6.609371,2,5.536112,10.55071,1.79769313486e+308,81986705,fair
37.99099,540,393248.3,6.609371,2,5.536112,10.55071,3.29E-05,37052868,fair
12.15152,555,6322411000,17.85225,1,8.914829,106005.9,1.62E-05,32168837,1
2.25,627,1881600000,1.50515,1,1.50515,20359.27,1.12E-05,32168837,1
61.72897,660,395628.5,6.974041,2,5.49952,30.29116,8.82E-06,32168839,1
61.72897,660,395628.5,6.974041,2,5.49952,30.29116,1.50E-05,29030070,fair
61.72897,660,395628.5,6.974041,2,5.49952,30.29116,6.91E-06,36564232,1
61.72897,660,395628.5,6.974041,2,5.49952,30.29116,1.79769313486e+308,81986705,fair
61.72897,660,395628.5,6.974041,2,5.49952,30.29116,6.91E-06,37052868,1
52.2381,728,12,0.30103,1,0.30103,20.27642,6.20E-06,32168839,1
52.2381,728,12,0.30103,1,0.30103,20.27642,1.19E-05,29030070,fair
52.2381,728,12,0.30103,1,0.30103,20.27642,6.91E-06,36564232,1
52.2381,728,12,0.30103,1,0.30103,20.27642,1.79769313486e+308,81986705,fair
52.2381,728,12,0.30103,1,0.30103,20.27642,8.11E-06,37052868,-1
51.21127,742,80503.46,74.4427,2,74.4427,9.16E+11,1.29E-05,32168839,1
51.21127,742,80503.46,74.4427,2,74.4427,9.16E+11,0.00010037,32168837,fair
51.21127,742,80503.46,74.4427,2,74.4427,9.16E+11,1.79769313486e+308,90783920,fair
51.21127,742,80503.46,74.4427,2,74.4427,9.16E+11,3.91E-05,29030070,fair
51.21127,742,80503.46,74.4427,2,74.4427,9.16E+11,2.31E-05,36564232,fair
51.21127,742,80503.46,74.4427,2,74.4427,9.16E+11,1.79769313486e+308,81986705,fair
51.21127,742,80503.46,74.4427,2,74.4427,9.16E+11,0.162,69654763,fair
51.21127,742,80503.46,74.4427,2,74.4427,9.16E+11,0.045319,19932321,fair
51.21127,742,80503.46,74.4427,2,74.4427,9.16E+11,0.000103,36025721,fair
51.21127,742,80503.46,74.4427,2,74.4427,9.16E+11,2.19E-05,37052868,fair
46.96629,771,681.7309,5.045255,1,4.387767,117.264,8.82E-06,32168839,1
46.96629,771,681.7309,5.045255,1,4.387767,117.264,1.50E-05,29030070,fair
46.96629,771,681.7309,5.045255,1,4.387767,117.264,1.00E-05,36564232,1
46.96629,771,681.7309,5.045255,1,4.387767,117.264,1.79769313486e+308,81986705,fair
46.96629,771,681.7309,5.045255,1,4.387767,117.264,1.00E-05,37052868,1
22.18824,785,1,1.6019,5,1.6019,10.41002,2.43E-05,45869639,1
22.18824,785,1,1.6019,5,1.6019,10.41002,2.81E-05,32168839,-1
22.18824,785,1,1.6019,5,1.6019,10.41002,2.10E-05,32168837,1
22.18824,785,1,1.6019,5,1.6019,10.41002,1.79769313486e+308,90783920,fair
22.18824,785,1,1.6019,5,1.6019,10.41002,0.00014496,29030070,fair
22.18824,785,1,1.6019,5,1.6019,10.41002,2.29E-05,7285382,1
22.18824,785,1,1.6019,5,1.6019,10.41002,5.39E-05,36564232,fair
22.18824,785,1,1.6019,5,1.6019,10.41002,1.79769313486e+308,81986705,fair
22.18824,785,1,1.6019,5,1.6019,10.41002,2.31E-05,69654763,1
22.18824,785,1,1.6019,5,1.6019,10.41002,5.32E-05,19932321,fair
