lambda-max-by-magnitude-im,right-bandwidth,avgdistfromdiag,symmetry,n-dummy-rows,blocksize,max-nnzeros-per-row,diag-definite,avgnnzprow,lambda-max-by-magnitude-re,ellipse-cy,nnzup,ruhe75-bound,avg-diag-dist,nnz,lambda-max-by-im-part-im,left-bandwidth,norm1,sigma-min,upband,n-struct-unsymm,lambda-min-by-magnitude-im,diagonal-average,diagonal-dominance,dummy-rows,ritz-values-r,symmetry-snorm,symmetry-fanorm,symmetry-fsnorm,colours,lambda-max-by-im-part-re,col-variability,trace-abs,ritz-values-c,nnzeros,diag-zerostart,loband,positive-fraction,trace,min-nnzeros-per-row,diagonal-sign,row-variability,nrows,lambda-max-by-real-part-im,colour-offsets,n-colours,relsymm,diagonal-variance,departure,nnzlow,n-nonzero-diags,sigma-max,dummy-rows-kind,kappa,n-ritz-values,colour-set-sizes,sigma-diag-dist,symmetry-anorm,ellipse-ax,ellipse-ay,ellipse-cx,normF,normInf,lee95-bound,lambda-max-by-real-part-re,nnzdia,trace-asquared,solver,matrix_name,solver_time,default_time,Time Difference
0,4535,4,0,0,2358,13,0,4,0,0,9616,2855328,2407.284,24790,0,5307,2270087,936210.4,4535,0,0,0.035059,-4474379,0,0,0,0,0,0,0,28.94268,186.0925,0,24790,2386,5307,0.495833,186.0925,2,1,26.7714,5308,0,0,6,0,2.540319,8657358,9866,7949,2955328,0,203.6607,240,0,14934340,0,673.8211,100000,-51.98303,8658516,4474379,0,488.377,5308,0,36564235,hydr1c_A_21,0.030018,0.00035,8476.57 % more time of default solver time
0,4535,4,0,0,2358,13,0,4,0,0,9616,2855328,2407.284,24790,0,5307,2270087,936210.4,4535,0,0,0.035059,-4474379,0,0,0,0,0,0,0,28.94268,186.0925,0,24790,2386,5307,0.495833,186.0925,2,1,26.7714,5308,0,0,6,0,2.540319,8657358,9866,7949,2955328,0,203.6607,240,0,14934340,0,673.8211,100000,-51.98303,8658516,4474379,0,488.377,5308,0,37052868,hydr1c_A_21,0.000312,0.00035,-10.86 % less time of default solver time
0,150,12,0,104,18,18,0,12,2,0,33016,10629940,78.18505,71805,0,150,167073100,96805950,150,0,0,2496414,-84036560,0,0,0,0,0,0,1,16.59974,14411800000,0,71805,5773,150,1,14411800000,1,0,16.59974,5773,0,0,13,0,5600774,20.47675,33016,281,129211700,1,1.499393,31,0,14108.6,0,21517870,0,107693900,690876800,167073100,0,129211700,5773,0,32168839,ex18,0.000585,0.000585,0.0 % less time of default solver time
0,2486,4,0,0,1295,11,0,4,-402.8296,0,4749,61565.83,1295.488,11886,0,2835,62073.03,30000,2486,8978,0,0.008883,-91954.07,0,0,60123.42,317004.2,317004.1,0,497.9248,13.73004,25.19084,0,11886,1299,2835,0.5,-25.19084,2,-1,9.192277,2836,0,0,6,0.244658,0.454554,448244.5,4301,4290,62063.76,0,7.165538,240,0,4218191,60123.42,450.3772,473.5546,47.54759,448311.5,91954.07,448311.5,497.9248,2836,-57465.26,32168839,extr1b_A_15,0.000181,0.000181,0.0 % less time of default solver time
0,2486,4,0,0,1295,11,0,4,-402.8296,0,4749,61565.83,1295.488,11886,0,2835,62073.03,30000,2486,8978,0,0.008883,-91954.07,0,0,60123.42,317004.2,317004.1,0,497.9248,13.73004,25.19084,0,11886,1299,2835,0.5,-25.19084,2,-1,9.192277,2836,0,0,6,0.244658,0.454554,448244.5,4301,4290,62063.76,0,7.165538,240,0,4218191,60123.42,450.3772,473.5546,47.54759,448311.5,91954.07,448311.5,497.9248,2836,-57465.26,29030070,extr1b_A_15,0.000071,0.000181,-60.77 % less time of default solver time
0,2486,4,0,0,1295,11,0,4,-402.8296,0,4749,61565.83,1295.488,11886,0,2835,62073.03,30000,2486,8978,0,0.008883,-91954.07,0,0,60123.42,317004.2,317004.1,0,497.9248,13.73004,25.19084,0,11886,1299,2835,0.5,-25.19084,2,-1,9.192277,2836,0,0,6,0.244658,0.454554,448244.5,4301,4290,62063.76,0,7.165538,240,0,4218191,60123.42,450.3772,473.5546,47.54759,448311.5,91954.07,448311.5,497.9248,2836,-57465.26,36564232,extr1b_A_15,0.000164,0.000181,-9.39 % less time of default solver time
0,2486,4,0,0,1295,11,0,4,-402.8296,0,4749,61565.83,1295.488,11886,0,2835,62073.03,30000,2486,8978,0,0.008883,-91954.07,0,0,60123.42,317004.2,317004.1,0,497.9248,13.73004,25.19084,0,11886,1299,2835,0.5,-25.19084,2,-1,9.192277,2836,0,0,6,0.244658,0.454554,448244.5,4301,4290,62063.76,0,7.165538,240,0,4218191,60123.42,450.3772,473.5546,47.54759,448311.5,91954.07,448311.5,497.9248,2836,-57465.26,69654763,extr1b_A_15,0.000089,0.000181,-50.83 % less time of default solver time
0,1801,6,0,0,76,1310,0,6,5.544549,0,5669,0.060774,793.6791,11238,0,1763,7.749682,0.081811,1801,0,0,0.006327,-1.053779,0,0,0,0,0,0,5.544549,261.0569,11.47058,0,11238,1813,1763,0.714286,11.47058,2,1,261.0569,1813,0,0,7,0,0.099377,0.041877,3756,3126,5.544571,0,263.5557,98,0,1327058,0,3.272275,0,2.272275,6.945972,7.789352,0,5.544549,1813,0,32168839,adder_dcop_07,0.000383,0.000383,0.0 % less time of default solver time
0,1801,6,0,0,76,1310,0,6,5.544549,0,5669,0.060774,793.6791,11238,0,1763,7.749682,0.081811,1801,0,0,0.006327,-1.053779,0,0,0,0,0,0,5.544549,261.0569,11.47058,0,11238,1813,1763,0.714286,11.47058,2,1,261.0569,1813,0,0,7,0,0.099377,0.041877,3756,3126,5.544571,0,263.5557,98,0,1327058,0,3.272275,0,2.272275,6.945972,7.789352,0,5.544549,1813,0,29030070,adder_dcop_07,0.000223,0.000383,-41.78 % less time of default solver time
0,1801,6,0,0,76,1310,0,6,5.544549,0,5669,0.060774,793.6791,11238,0,1763,7.749682,0.081811,1801,0,0,0.006327,-1.053779,0,0,0,0,0,0,5.544549,261.0569,11.47058,0,11238,1813,1763,0.714286,11.47058,2,1,261.0569,1813,0,0,7,0,0.099377,0.041877,3756,3126,5.544571,0,263.5557,98,0,1327058,0,3.272275,0,2.272275,6.945972,7.789352,0,5.544549,1813,0,36564232,adder_dcop_07,0.002039,0.000383,432.38 % more time of default solver time
