avg-diag-dist,norm1,col-variability,min-nnzeros-per-row,row-variability,kappa, time, solver, class
793.8216,4.910904,270.5304,2,270.5304,164.5511,0.02195111,89269801,fair
793.8216,4.910904,270.5304,2,270.5304,164.5511,0.0307802,30870721,fair
793.8216,4.910904,270.5304,2,270.5304,164.5511,0.01871793,36025722,fair
793.8216,4.910904,270.5304,2,270.5304,164.5511,0.02196318,30870720,fair
793.8216,4.910904,270.5304,2,270.5304,164.5511,0.4015555,64278029,fair
793.8216,4.910904,270.5304,2,270.5304,164.5511,0.01767408,36025724,fair
793.8216,4.910904,270.5304,2,270.5304,164.5511,0.03359762,32168839,fair
793.8216,4.910904,270.5304,2,270.5304,164.5511,0.01109589,32168838,fair
793.8216,4.910904,270.5304,2,270.5304,164.5511,0.02114875,57331597,fair
793.8216,4.910904,270.5304,2,270.5304,164.5511,0.01769469,88865077,fair
793.8216,4.910904,270.5304,2,270.5304,164.5511,0.03798273,11256943,fair
793.8216,4.910904,270.5304,2,270.5304,164.5511,0.02709394,42851841,fair
793.8216,4.910904,270.5304,2,270.5304,164.5511,0.03746397,11256944,fair
793.8216,4.910904,270.5304,2,270.5304,164.5511,0.03019649,95762355,fair
793.8216,4.910904,270.5304,2,270.5304,164.5511,0.1077721,12321508,fair
793.8216,4.910904,270.5304,2,270.5304,164.5511,0.05428307,91068411,fair
793.8216,4.910904,270.5304,2,270.5304,164.5511,0.03377138,85483012,fair
793.8216,4.910904,270.5304,2,270.5304,164.5511,31.28851,5890863,fair
793.8216,4.910904,270.5304,2,270.5304,164.5511,2.296807,5890862,fair
793.8216,4.910904,270.5304,2,270.5304,164.5511,0.03474468,18868443,fair
793.8216,4.910904,270.5304,2,270.5304,164.5511,0.01366165,18868442,fair
793.8216,4.910904,270.5304,2,270.5304,164.5511,0.09608397,47942865,fair
793.8216,4.910904,270.5304,2,270.5304,164.5511,0.1329882,8520536,fair
793.8216,4.910904,270.5304,2,270.5304,164.5511,0.04963385,95762354,fair
793.8216,4.910904,270.5304,2,270.5304,164.5511,0.02669521,29030070,fair
793.8216,4.910904,270.5304,2,270.5304,164.5511,0.05764827,85490469,fair
793.8216,4.910904,270.5304,2,270.5304,164.5511,0.04037202,30870722,fair
793.8216,4.910904,270.5304,2,270.5304,164.5511,0.0443937,13323659,fair
793.8216,4.910904,270.5304,2,270.5304,164.5511,0.02961413,36564233,fair
793.8216,4.910904,270.5304,2,270.5304,164.5511,0.0002799,36564232,fair
793.8216,4.910904,270.5304,2,270.5304,164.5511,0.04188178,75830645,fair
793.8216,4.910904,270.5304,2,270.5304,164.5511,1.79769313486e+308,81986705,fair
793.8216,4.910904,270.5304,2,270.5304,164.5511,0.02015289,29553941,fair
793.8216,4.910904,270.5304,2,270.5304,164.5511,0.04079044,69654761,fair
793.8216,4.910904,270.5304,2,270.5304,164.5511,0.01312781,29553944,fair
