n-nonzero-diags,avg-diag-dist,nnz,norm1,col-variability,min-nnzeros-per-row,row-variability,kappa, time, solver, class
3,0.6666667,30001,0.6365642,2.575157,2,2.575157,3.582945,0.00034308,26415433,-1
3,0.6666667,30001,0.6365642,2.575157,2,2.575157,3.582945,1.79769313486e+308,68908713,-1
3,0.6666667,30001,0.6365642,2.575157,2,2.575157,3.582945,0.00017095,75830645,1
3,0.6666667,30001,0.6365642,2.575157,2,2.575157,3.582945,0.00036597,69654762,-1
3,0.6666667,30001,0.6365642,2.575157,2,2.575157,3.582945,0.00048089,19932323,-1
3,0.6666667,30001,0.6365642,2.575157,2,2.575157,3.582945,0.00034404,38678401,-1
3,0.6666667,30001,0.6365642,2.575157,2,2.575157,3.582945,0.00032115,38678402,-1
3,0.6666667,30001,0.6365642,2.575157,2,2.575157,3.582945,0.00032091,38678403,-1
3,0.6666667,30001,0.6365642,2.575157,2,2.575157,3.582945,0.0002389,36025721,-1
3,0.6666667,30001,0.6365642,2.575157,2,2.575157,3.582945,0.0037105,85490472,-1
3,0.6666667,30001,0.6253648,2.455325,2,2.455325,3.533353,0.00075984,90197667,-1
3,0.6666667,30001,0.6253648,2.455325,2,2.455325,3.533353,0.00024009,89269803,-1
3,0.6666667,30001,0.6253648,2.455325,2,2.455325,3.533353,0.00023985,89269801,-1
3,0.6666667,30001,0.6253648,2.455325,2,2.455325,3.533353,0.00023937,7285384,-1
3,0.6666667,30001,0.6253648,2.455325,2,2.455325,3.533353,0.00055265,59072884,-1
3,0.6666667,30001,0.6253648,2.455325,2,2.455325,3.533353,0.00043607,49598910,-1
3,0.6666667,30001,0.6253648,2.455325,2,2.455325,3.533353,0.00043511,49598912,-1
3,0.6666667,30001,0.6253648,2.455325,2,2.455325,3.533353,0.00024295,30870721,-1
3,0.6666667,30001,0.6253648,2.455325,2,2.455325,3.533353,0.0002389,30870720,-1
3,0.6666667,30001,0.6253648,2.455325,2,2.455325,3.533353,0.00023985,32168838,-1
3,0.6666667,30001,0.6253648,2.455325,2,2.455325,3.533353,0.00047803,49834418,-1
3,0.6666667,30001,0.6253648,2.455325,2,2.455325,3.533353,0.00054812,57331600,-1
3,0.6666667,30001,0.6253648,2.455325,2,2.455325,3.533353,0.0014179,43373442,-1
3,0.6666667,30001,0.6253648,2.455325,2,2.455325,3.533353,0.0039058,91068410,-1
3,0.6666667,30001,0.6253648,2.455325,2,2.455325,3.533353,0.00014496,18868441,1
3,0.6666667,30001,0.6253648,2.455325,2,2.455325,3.533353,0.0039208,91068408,-1
3,0.6666667,30001,0.6253648,2.455325,2,2.455325,3.533353,1.79769313486e+308,90783920,-1
3,0.6666667,30001,0.6253648,2.455325,2,2.455325,3.533353,0.0002377,99720138,-1
