179,c,trsna,yes,cndNumber_of_evtrs,standard,upper triangular,,,,,,,632
180,z,trsna,yes,cndNumber_of_evtrs,standard,upper triangular,,,,,,,633
181,s,tgsna,no,cndNumber_of_evtrs,generalized,block upper triangular,,,,,,,634
182,d,tgsna,no,cndNumber_of_evtrs,generalized,block upper triangular,,,,,,,635
183,c,tgsna,yes,cndNumber_of_evtrs,generalized,upper triangular,,,,,,,636
184,z,tgsna,yes,cndNumber_of_evtrs,generalized,upper triangular,,,,,,,637
185,s,gebal,no,balance,standard,general,full,,,,,,638
186,d,gebal,no,balance,standard,general,full,,,,,,639
187,c,gebal,yes,balance,standard,general,full,,,,,,640
188,z,gebal,yes,balance,standard,general,full,,,,,,641
189,s,ggbal,no,balance,generalized,general,full,,,,,,642
190,d,ggbal,no,balance,generalized,general,full,,,,,,643
191,c,ggbal,yes,balance,generalized,general,full,,,,,,644
192,z,ggbal,yes,balance,generalized,general,full,,,,,,645
