MinNonzerosPerRow,RowVariance,ColumnVariance,DiagonalVariance,Nonzeros ,Dimension,FrobeniusNorm ,SymmetricFrobeniusNorm ,AntiSymmetricFrobeniusNorm,OneNorm,InfinityNorm, SymmetricInfinityNorm,AntiSymmetricInfinityNorm,MaxNonzerosPerRow ,Trace , AbsoluteTrace,MinNonzerosPerRow,AvgNonzerosPerRow,DummyRows,DummyRowsKind,NumericValueSymmetryV1,NonZeroPatternSymmetryV1,NumericValueSymmetryV2,NonZeroPatternSymmetryV2,RowDiagonalDominance ,ColumnDiagonalDominance ,DiagonalAverage,DiagonalSign ,DiagonalNonZeros ,lowerBandwidth ,upperBandwidth ,MatrixSymmetric ,matrix
  4,  1.60996,   1.60996,  6473.44,  109615,  20002,  17390.3, 17390.3,  2.08327E-13,  248.921,  248.921,  248.921, 4.44089E-15, 6, 1.74269E+06, 1.74269E+06, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 87.126, 2,  20002, 3,Q 3, 0, direct_order4_test_87_3_1.mat
  4,  1.60341,   1.60341,  6473.34,  109609,  20002,  17390.2, 17390.2,  2.08322E-13,  248.598,  248.598,  248.598, 3.9968E-15, 6, 1.74268E+06, 1.74268E+06, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 87.1253, 2,  20002, 3,Q 3, 0, direct_order4_test_40_8_1.mat
  3,  0.509057,   0.509077,  291.739,  80001,  20001,  12327.6, 12327.6,  38.3391,  101.818,  101.051,  101.435, 0.383391, 5, 1.67671E+06, 1.67671E+06, 3, 3, 0, 0, 0, 0, 0.998103, 0.998103, 2, 2, 83.8311, 2,  20001, 10001,Q 10001, 0, mollified_langmuir_desorption_143_1_1.mat
  4,  0.250628,   0.248908,  779.465,  120004,  20002,  6400.81, 6384.38,  458.323,  104.21,  111.71,  107.126, 4.58333, 6, 564013, 564013, 4, 5, 0, 0, 0, 0, 0.957784, 0.957784, 0, 0, 28.1978, 2,  20002, 3,Q 3, 0, split_order4_test_24_1_1.mat
  4,  0.121594,   0.121594,  275.448,  100786,  20002,  3730.93, 3730.93,  5.9808E-15,  50.2364,  50.2364,  50.2364, 1.11022E-15, 6, 409344, 409344, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 20.4651, 2,  20002, 3,Q 3, 0, direct_order8_test_41_8_1.mat
  4,  0.627478,   0.62575,  194.59,  120004,  20002,  4146.42, 4121.01,  458.323,  113.253,  120.753,  116.17, 4.58333, 6, 278739, 278739, 4, 5, 0, 0, 0, 0, 0.942469, 0.942469, 0, 0, 13.9356, 2,  20002, 3,Q 3, 0, split_order8_test_50_1_1.mat
  4,  0.118715,   0.118715,  275.468,  100804,  20002,  3731.05, 3731.05,  5.97667E-15,  49.5338,  49.5338,  49.5338, 9.99201E-16, 6, 409355, 409355, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 20.4657, 2,  20002, 3,Q 3, 0, direct_order8_test_83_1_1.mat
  4,  0.635801,   0.634073,  194.416,  120004,  20002,  4145.93, 4120.52,  458.323,  113.63,  121.13,  116.546, 4.58333, 6, 278700, 278700, 4, 5, 0, 0, 0, 0, 0.942468, 0.942468, 0, 0, 13.9336, 2,  20002, 3,Q 3, 0, split_order8_test_41_2_1.mat
  4,  4.86966E+11,   4.86966E+11,  1.34665e+15,  120004,  20002,  6.61909E+09, 6.61909E+09,  872733,  1.01472E+08,  1.01472E+08,  1.01471E+08, 19913.8, 6, 5.78997E+11, 5.78997E+11, 4, 5, 0, 0, 0, 0, 0.999861, 0.999861, 0, 0, 2.89469e+07, 2,  20002, 3,Q 3, 0, direct_41_8_1.mat
  4,  0.118631,   0.118631,  275.473,  100806,  20002,  3731.07, 3731.07,  5.95187E-15,  49.5122,  49.5122,  49.5122, 6.66134E-16, 6, 409357, 409357, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 20.4658, 2,  20002, 3,Q 3, 0, direct_order8_test_90_11_1.mat
  4,  1.60252,   1.60252,  6473.3,  109608,  20002,  17390.1, 17390.1,  2.08294E-13,  248.554,  248.554,  248.554, 4.44089E-15, 6, 1.74268E+06, 1.74268E+06, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 87.1251, 2,  20002, 3,Q 3, 0, direct_order4_test_27_1_1.mat
  4,  1.60406,   1.60406,  6473.35,  109610,  20002,  17390.2, 17390.2,  2.08252E-13,  248.637,  248.637,  248.637, 3.55271E-15, 6, 1.74268E+06, 1.74268E+06, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 87.1254, 2,  20002, 3,Q 3, 0, direct_order4_test_45_7_1.mat
  4,  0.278056,   0.278056,  884.271,  118450,  20002,  6489.5, 6489.5,  1.58276E-14,  88.5089,  88.5089,  88.5089, 1.44329E-15, 6, 684275, 684275, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.2103, 2,  20002, 3,Q 3, 0, direct_order6_test_65_6_1.mat
  4,  0.126617,   0.126617,  275.439,  100770,  20002,  3730.88, 3730.88,  5.83897E-15,  51.4942,  51.4942,  51.4942, 5.55112E-16, 6, 409338, 409338, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 20.4648, 2,  20002, 3,Q 3, 0, direct_order8_test_14_5_1.mat
  3,  0.509057,   0.509077,  291.759,  80001,  20001,  12327.6, 12327.5,  38.428,  101.818,  101.05,  101.434, 0.38428, 5, 1.67669E+06, 1.67669E+06, 3, 3, 0, 0, 0, 0, 0.998099, 0.998099, 2, 2, 83.8305, 2,  20001, 10001,Q 10001, 0, langmuir_desorption_158_1_1.mat
  4,  0.296125,   0.296125,  884.189,  118450,  20002,  6489.23, 6489.23,  1.57878E-14,  90.404,  90.404,  90.404, 1.44329E-15, 6, 684247, 684247, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.2089, 2,  20002, 3,Q 3, 0, direct_order6_test_2_9_1.mat
  4,  0.119,   0.119,  275.463,  100804,  20002,  3731.02, 3731.02,  5.91031E-15,  49.6044,  49.6044,  49.6044, 5.55112E-16, 6, 409352, 409352, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 20.4655, 2,  20002, 3,Q 3, 0, direct_order8_test_74_5_1.mat
  1,  4.31697,   4.31697,  22937.9,  7065243,  67200,  82981.6, 82981.6,  82981.6,  1835.6,  1835.6,  1835.6, 1835.6, 135, 1.21215E+07, 1.21215E+07, 1, 105, 0, 0, 0, 0, 1.21215E+07, 1.21215E+07, 0, 0, 180.379, 2,  67200, 48695,Q 48695, 0, cosserat_shear_25_2_1.mat
  4,  9.15563E+10,   9.15547E+10,  1.60018e+14,  120004,  20002,  2.71638E+09, 2.71635E+09,  1.18218E+07,  6.98814E+07,  7.01411E+07,  7.00112E+07, 146776, 6, 1.85383E+11, 1.85383E+11, 4, 5, 0, 0, 0, 0, 0.996949, 0.996949, 0, 0, 9.26824e+06, 2,  20002, 3,Q 3, 0, split_19_1_1.mat
  4,  1.60973,   1.60973,  6473.43,  109616,  20002,  17390.3, 17390.3,  2.08278E-13,  248.91,  248.91,  248.91, 4.44089E-15, 6, 1.74269E+06, 1.74269E+06, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 87.126, 2,  20002, 3,Q 3, 0, direct_order4_test_85_1_1.mat
