avg-diag-dist,norm1,col-variability,min-nnzeros-per-row,row-variability,kappa,solver,class,matrix_name,solver_time,predicted-class,default_time,Time Difference,SpeedUp
2427.511,66035.28,30.66095,2,28.79542,1.293485,32168839,good,hydr1c_A_57,0.000204,bad,0.000204,0,1
2427.511,66035.28,30.66095,2,28.79542,1.293485,36025721,bad,hydr1c_A_57,0.000246,fair,0.000204,20.59,0.829268293
2427.288,58138.05,29.40351,2,27.58136,1.183745,32168839,bad,hydr1c_A_54,0.000221,good,0.000221,0,1
2408.001,2316819,30.06439,2,27.71961,183.7612,32168839,bad,hydr1c_A_55,0.000187,fair,0.000187,0,1
2408.001,2316819,30.06439,2,27.71961,183.7612,37052868,bad,hydr1c_A_55,0.000185,good,0.000187,-1.07,1.010810811
2516.491,1.00E+20,20,1,20,56603850,7285384,good,nopss_11k,0.0203,fair,0.568694,-96.43,28.01448276
2516.491,1.00E+20,20,1,20,56603850,32168838,good,nopss_11k,0.018753,fair,0.568694,-96.7,30.32549459
2516.491,1.00E+20,20,1,20,56603850,32168837,good,nopss_11k,0.019408,fair,0.568694,-96.59,29.3020404
2516.491,1.00E+20,20,1,20,56603850,95762355,bad,nopss_11k,0.021001,fair,0.568694,-96.31,27.07937717
2516.491,1.00E+20,20,1,20,56603850,95762353,bad,nopss_11k,0.021715,fair,0.568694,-96.18,26.18899378
2516.491,1.00E+20,20,1,20,56603850,85483012,good,nopss_11k,0.017547,fair,0.568694,-96.91,32.40975665
2516.491,1.00E+20,20,1,20,56603850,37052870,good,nopss_11k,0.01861,fair,0.568694,-96.73,30.55851693
2516.491,1.00E+20,20,1,20,56603850,37052871,good,nopss_11k,0.017752,fair,0.568694,-96.88,32.03548896
2516.491,1.00E+20,20,1,20,56603850,36025721,good,nopss_11k,0.018283,fair,0.568694,-96.79,31.10507028
2516.491,1.00E+20,20,1,20,56603850,37052869,bad,nopss_11k,0.02288,fair,0.568694,-95.98,24.85550699
2516.491,1.00E+20,20,1,20,56603850,37052868,good,nopss_11k,0.016666,fair,0.568694,-97.07,34.12300492
